Tick,X,Y,LandUse,LandUseIndex,Agent,Competitiveness
2000,1,1,AT3,2,AT3,94.381
2000,1,2,AT3,2,AT3,105.180
2000,1,3,AT3,2,AT3,113.117
2000,1,4,AT3,2,AT3,118.180
2000,1,5,AT3,2,AT3,120.357
2000,1,6,AT3,2,AT3,119.645
2000,1,7,AT3,2,AT3,116.045
2000,1,8,AT3,2,AT3,109.564
2000,1,9,AT3,2,AT3,100.214
2000,1,10,AT3,2,AT3,88.012
2000,2,1,AT3,2,AT3,100.140
2000,2,2,AT3,2,AT3,110.950
2000,2,3,AT3,2,AT3,118.896
2000,2,4,AT3,2,AT3,123.963
2000,2,5,AT3,2,AT3,126.142
2000,2,6,AT3,2,AT3,125.427
2000,2,7,AT3,2,AT3,121.821
2000,2,8,AT3,2,AT3,115.330
2000,2,9,AT3,2,AT3,105.967
2000,2,10,AT3,2,AT3,93.749
2000,3,1,AT3,2,AT3,103.023
2000,3,2,AT3,2,AT3,113.839
2000,3,3,AT3,2,AT3,121.788
2000,3,4,AT3,2,AT3,126.857
2000,3,5,AT3,2,AT3,129.035
2000,3,6,AT3,2,AT3,128.318
2000,3,7,AT3,2,AT3,124.709
2000,3,8,AT3,2,AT3,118.212
2000,3,9,AT3,2,AT3,108.842
2000,3,10,AT3,2,AT3,96.614
2000,4,1,AT3,2,AT3,103.026
2000,4,2,AT3,2,AT3,113.840
2000,4,3,AT3,2,AT3,121.788
2000,4,4,AT3,2,AT3,126.855
2000,4,5,AT3,2,AT3,129.031
2000,4,6,AT3,2,AT3,128.313
2000,4,7,AT3,2,AT3,124.702
2000,4,8,AT3,2,AT3,118.204
2000,4,9,AT3,2,AT3,108.832
2000,4,10,AT3,2,AT3,96.602
2000,5,1,AT3,2,AT3,100.148
2000,5,2,AT3,2,AT3,110.954
2000,5,3,AT3,2,AT3,118.895
2000,5,4,AT3,2,AT3,123.957
2000,5,5,AT3,2,AT3,126.131
2000,5,6,AT3,2,AT3,125.412
2000,5,7,AT3,2,AT3,121.801
2000,5,8,AT3,2,AT3,115.306
2000,5,9,AT3,2,AT3,105.938
2000,5,10,AT3,2,AT3,93.714
2000,6,1,AT3,2,AT3,94.395
2000,6,2,AT3,2,AT3,105.186
2000,6,3,AT3,2,AT3,113.116
2000,6,4,AT3,2,AT3,118.170
2000,6,5,AT3,2,AT3,120.339
2000,6,6,AT3,2,AT3,119.619
2000,6,7,AT3,2,AT3,116.011
2000,6,8,AT3,2,AT3,109.522
2000,6,9,AT3,2,AT3,100.165
2000,6,10,AT3,2,AT3,87.955
2000,7,1,AT3,2,AT3,85.777
2000,7,2,AT3,2,AT3,96.546
2000,7,3,AT3,2,AT3,104.460
2000,7,4,AT3,2,AT3,109.503
2000,7,5,AT3,2,AT3,111.667
2000,7,6,AT3,2,AT3,110.947
2000,7,7,AT3,2,AT3,107.344
2000,7,8,AT3,2,AT3,100.865
2000,7,9,AT3,2,AT3,91.523
2000,7,10,AT3,2,AT3,79.335
2000,8,1,AT3,2,AT3,74.311
2000,8,2,AT3,2,AT3,85.052
2000,8,3,AT3,2,AT3,92.944
2000,8,4,AT3,2,AT3,97.974
2000,8,5,AT3,2,AT3,100.130
2000,8,6,AT3,2,AT3,99.410
2000,8,7,AT3,2,AT3,95.815
2000,8,8,AT3,2,AT3,89.351
2000,8,9,AT3,2,AT3,80.030
2000,8,10,AT3,2,AT3,67.871
2001,1,1,AT3,2,AT3,94.381
2001,1,2,AT3,2,AT3,105.180
2001,1,3,AT3,2,AT3,113.117
2001,1,4,AT3,2,AT3,118.180
2001,1,5,AT3,2,AT3,120.357
2001,1,6,AT3,2,AT3,119.645
2001,1,7,AT3,2,AT3,116.045
2001,1,8,AT3,2,AT3,109.564
2001,1,9,AT3,2,AT3,100.214
2001,1,10,AT3,2,AT3,88.012
2001,2,1,AT3,2,AT3,100.140
2001,2,2,AT3,2,AT3,110.950
2001,2,3,AT3,2,AT3,118.896
2001,2,4,AT3,2,AT3,123.963
2001,2,5,AT3,2,AT3,126.142
2001,2,6,AT3,2,AT3,125.427
2001,2,7,AT3,2,AT3,121.821
2001,2,8,AT3,2,AT3,115.330
2001,2,9,AT3,2,AT3,105.967
2001,2,10,AT3,2,AT3,93.749
2001,3,1,AT3,2,AT3,103.023
2001,3,2,AT3,2,AT3,113.839
2001,3,3,AT3,2,AT3,121.788
2001,3,4,AT3,2,AT3,126.857
2001,3,5,AT3,2,AT3,129.035
2001,3,6,AT3,2,AT3,128.318
2001,3,7,AT3,2,AT3,124.709
2001,3,8,AT3,2,AT3,118.212
2001,3,9,AT3,2,AT3,108.842
2001,3,10,AT3,2,AT3,96.614
2001,4,1,AT3,2,AT3,103.026
2001,4,2,AT3,2,AT3,113.840
2001,4,3,AT3,2,AT3,121.788
2001,4,4,AT3,2,AT3,126.855
2001,4,5,AT3,2,AT3,129.031
2001,4,6,AT3,2,AT3,128.313
2001,4,7,AT3,2,AT3,124.702
2001,4,8,AT3,2,AT3,118.204
2001,4,9,AT3,2,AT3,108.832
2001,4,10,AT3,2,AT3,96.602
2001,5,1,AT3,2,AT3,100.148
2001,5,2,AT3,2,AT3,110.954
2001,5,3,AT3,2,AT3,118.895
2001,5,4,AT3,2,AT3,123.957
2001,5,5,AT3,2,AT3,126.131
2001,5,6,AT3,2,AT3,125.412
2001,5,7,AT3,2,AT3,121.801
2001,5,8,AT3,2,AT3,115.306
2001,5,9,AT3,2,AT3,105.938
2001,5,10,AT3,2,AT3,93.714
2001,6,1,AT3,2,AT3,94.395
2001,6,2,AT3,2,AT3,105.186
2001,6,3,AT3,2,AT3,113.116
2001,6,4,AT3,2,AT3,118.170
2001,6,5,AT3,2,AT3,120.339
2001,6,6,AT3,2,AT3,119.619
2001,6,7,AT3,2,AT3,116.011
2001,6,8,AT3,2,AT3,109.522
2001,6,9,AT3,2,AT3,100.165
2001,6,10,AT3,2,AT3,87.955
2001,7,1,AT3,2,AT3,85.777
2001,7,2,AT3,2,AT3,96.546
2001,7,3,AT3,2,AT3,104.460
2001,7,4,AT3,2,AT3,109.503
2001,7,5,AT3,2,AT3,111.667
2001,7,6,AT3,2,AT3,110.947
2001,7,7,AT3,2,AT3,107.344
2001,7,8,AT3,2,AT3,100.865
2001,7,9,AT3,2,AT3,91.523
2001,7,10,AT3,2,AT3,79.335
2001,8,1,AT3,2,AT3,74.311
2001,8,2,AT3,2,AT3,85.052
2001,8,3,AT3,2,AT3,92.944
2001,8,4,AT3,2,AT3,97.974
2001,8,5,AT3,2,AT3,100.130
2001,8,6,AT3,2,AT3,99.410
2001,8,7,AT3,2,AT3,95.815
2001,8,8,AT3,2,AT3,89.351
2001,8,9,AT3,2,AT3,80.030
2001,8,10,AT3,2,AT3,67.871
2002,1,1,AT3,2,AT3,94.381
2002,1,2,AT3,2,AT3,105.180
2002,1,3,AT3,2,AT3,113.117
2002,1,4,AT3,2,AT3,118.180
2002,1,5,AT3,2,AT3,120.357
2002,1,6,AT3,2,AT3,119.645
2002,1,7,AT3,2,AT3,116.045
2002,1,8,AT3,2,AT3,109.564
2002,1,9,AT3,2,AT3,100.214
2002,1,10,AT3,2,AT3,88.012
2002,2,1,AT3,2,AT3,100.140
2002,2,2,AT3,2,AT3,110.950
2002,2,3,AT3,2,AT3,118.896
2002,2,4,AT3,2,AT3,123.963
2002,2,5,AT3,2,AT3,126.142
2002,2,6,AT3,2,AT3,125.427
2002,2,7,AT3,2,AT3,121.821
2002,2,8,AT3,2,AT3,115.330
2002,2,9,AT3,2,AT3,105.967
2002,2,10,AT3,2,AT3,93.749
2002,3,1,AT3,2,AT3,103.023
2002,3,2,AT3,2,AT3,113.839
2002,3,3,AT3,2,AT3,121.788
2002,3,4,AT3,2,AT3,126.857
2002,3,5,AT3,2,AT3,129.035
2002,3,6,AT3,2,AT3,128.318
2002,3,7,AT3,2,AT3,124.709
2002,3,8,AT3,2,AT3,118.212
2002,3,9,AT3,2,AT3,108.842
2002,3,10,AT3,2,AT3,96.614
2002,4,1,AT3,2,AT3,103.026
2002,4,2,AT3,2,AT3,113.840
2002,4,3,AT3,2,AT3,121.788
2002,4,4,AT3,2,AT3,126.855
2002,4,5,AT3,2,AT3,129.031
2002,4,6,AT3,2,AT3,128.313
2002,4,7,AT3,2,AT3,124.702
2002,4,8,AT3,2,AT3,118.204
2002,4,9,AT3,2,AT3,108.832
2002,4,10,AT3,2,AT3,96.602
2002,5,1,AT3,2,AT3,100.148
2002,5,2,AT3,2,AT3,110.954
2002,5,3,AT3,2,AT3,118.895
2002,5,4,AT3,2,AT3,123.957
2002,5,5,AT3,2,AT3,126.131
2002,5,6,AT3,2,AT3,125.412
2002,5,7,AT3,2,AT3,121.801
2002,5,8,AT3,2,AT3,115.306
2002,5,9,AT3,2,AT3,105.938
2002,5,10,AT3,2,AT3,93.714
2002,6,1,AT3,2,AT3,94.395
2002,6,2,AT3,2,AT3,105.186
2002,6,3,AT3,2,AT3,113.116
2002,6,4,AT3,2,AT3,118.170
2002,6,5,AT3,2,AT3,120.339
2002,6,6,AT3,2,AT3,119.619
2002,6,7,AT3,2,AT3,116.011
2002,6,8,AT3,2,AT3,109.522
2002,6,9,AT3,2,AT3,100.165
2002,6,10,AT3,2,AT3,87.955
2002,7,1,AT3,2,AT3,85.777
2002,7,2,AT3,2,AT3,96.546
2002,7,3,AT3,2,AT3,104.460
2002,7,4,AT3,2,AT3,109.503
2002,7,5,AT3,2,AT3,111.667
2002,7,6,AT3,2,AT3,110.947
2002,7,7,AT3,2,AT3,107.344
2002,7,8,AT3,2,AT3,100.865
2002,7,9,AT3,2,AT3,91.523
2002,7,10,AT3,2,AT3,79.335
2002,8,1,AT3,2,AT3,74.311
2002,8,2,AT3,2,AT3,85.052
2002,8,3,AT3,2,AT3,92.944
2002,8,4,AT3,2,AT3,97.974
2002,8,5,AT3,2,AT3,100.130
2002,8,6,AT3,2,AT3,99.410
2002,8,7,AT3,2,AT3,95.815
2002,8,8,AT3,2,AT3,89.351
2002,8,9,AT3,2,AT3,80.030
2002,8,10,AT3,2,AT3,67.871
2003,1,1,AT3,2,AT3,94.381
2003,1,2,AT3,2,AT3,105.180
2003,1,3,AT3,2,AT3,113.117
2003,1,4,AT3,2,AT3,118.180
2003,1,5,AT3,2,AT3,120.357
2003,1,6,AT3,2,AT3,119.645
2003,1,7,AT3,2,AT3,116.045
2003,1,8,AT3,2,AT3,109.564
2003,1,9,AT3,2,AT3,100.214
2003,1,10,AT3,2,AT3,88.012
2003,2,1,AT3,2,AT3,100.140
2003,2,2,AT3,2,AT3,110.950
2003,2,3,AT3,2,AT3,118.896
2003,2,4,AT3,2,AT3,123.963
2003,2,5,AT3,2,AT3,126.142
2003,2,6,AT3,2,AT3,125.427
2003,2,7,AT3,2,AT3,121.821
2003,2,8,AT3,2,AT3,115.330
2003,2,9,AT3,2,AT3,105.967
2003,2,10,AT3,2,AT3,93.749
2003,3,1,AT3,2,AT3,103.023
2003,3,2,AT3,2,AT3,113.839
2003,3,3,AT3,2,AT3,121.788
2003,3,4,AT3,2,AT3,126.857
2003,3,5,AT3,2,AT3,129.035
2003,3,6,AT3,2,AT3,128.318
2003,3,7,AT3,2,AT3,124.709
2003,3,8,AT3,2,AT3,118.212
2003,3,9,AT3,2,AT3,108.842
2003,3,10,AT3,2,AT3,96.614
2003,4,1,AT3,2,AT3,103.026
2003,4,2,AT3,2,AT3,113.840
2003,4,3,AT3,2,AT3,121.788
2003,4,4,AT3,2,AT3,126.855
2003,4,5,AT3,2,AT3,129.031
2003,4,6,AT3,2,AT3,128.313
2003,4,7,AT3,2,AT3,124.702
2003,4,8,AT3,2,AT3,118.204
2003,4,9,AT3,2,AT3,108.832
2003,4,10,AT3,2,AT3,96.602
2003,5,1,AT3,2,AT3,100.148
2003,5,2,AT3,2,AT3,110.954
2003,5,3,AT3,2,AT3,118.895
2003,5,4,AT3,2,AT3,123.957
2003,5,5,AT3,2,AT3,126.131
2003,5,6,AT3,2,AT3,125.412
2003,5,7,AT3,2,AT3,121.801
2003,5,8,AT3,2,AT3,115.306
2003,5,9,AT3,2,AT3,105.938
2003,5,10,AT3,2,AT3,93.714
2003,6,1,AT3,2,AT3,94.395
2003,6,2,AT3,2,AT3,105.186
2003,6,3,AT3,2,AT3,113.116
2003,6,4,AT3,2,AT3,118.170
2003,6,5,AT3,2,AT3,120.339
2003,6,6,AT3,2,AT3,119.619
2003,6,7,AT3,2,AT3,116.011
2003,6,8,AT3,2,AT3,109.522
2003,6,9,AT3,2,AT3,100.165
2003,6,10,AT3,2,AT3,87.955
2003,7,1,AT3,2,AT3,85.777
2003,7,2,AT3,2,AT3,96.546
2003,7,3,AT3,2,AT3,104.460
2003,7,4,AT3,2,AT3,109.503
2003,7,5,AT3,2,AT3,111.667
2003,7,6,AT3,2,AT3,110.947
2003,7,7,AT3,2,AT3,107.344
2003,7,8,AT3,2,AT3,100.865
2003,7,9,AT3,2,AT3,91.523
2003,7,10,AT3,2,AT3,79.335
2003,8,1,AT3,2,AT3,74.311
2003,8,2,AT3,2,AT3,85.052
2003,8,3,AT3,2,AT3,92.944
2003,8,4,AT3,2,AT3,97.974
2003,8,5,AT3,2,AT3,100.130
2003,8,6,AT3,2,AT3,99.410
2003,8,7,AT3,2,AT3,95.815
2003,8,8,AT3,2,AT3,89.351
2003,8,9,AT3,2,AT3,80.030
2003,8,10,AT3,2,AT3,67.871
2004,1,1,AT3,2,AT3,94.381
2004,1,2,AT3,2,AT3,105.180
2004,1,3,AT3,2,AT3,113.117
2004,1,4,AT3,2,AT3,118.180
2004,1,5,AT3,2,AT3,120.357
2004,1,6,AT3,2,AT3,119.645
2004,1,7,AT3,2,AT3,116.045
2004,1,8,AT3,2,AT3,109.564
2004,1,9,AT3,2,AT3,100.214
2004,1,10,AT3,2,AT3,88.012
2004,2,1,AT3,2,AT3,100.140
2004,2,2,AT3,2,AT3,110.950
2004,2,3,AT3,2,AT3,118.896
2004,2,4,AT3,2,AT3,123.963
2004,2,5,AT3,2,AT3,126.142
2004,2,6,AT3,2,AT3,125.427
2004,2,7,AT3,2,AT3,121.821
2004,2,8,AT3,2,AT3,115.330
2004,2,9,AT3,2,AT3,105.967
2004,2,10,AT3,2,AT3,93.749
2004,3,1,AT3,2,AT3,103.023
2004,3,2,AT3,2,AT3,113.839
2004,3,3,AT3,2,AT3,121.788
2004,3,4,AT3,2,AT3,126.857
2004,3,5,AT3,2,AT3,129.035
2004,3,6,AT3,2,AT3,128.318
2004,3,7,AT3,2,AT3,124.709
2004,3,8,AT3,2,AT3,118.212
2004,3,9,AT3,2,AT3,108.842
2004,3,10,AT3,2,AT3,96.614
2004,4,1,AT3,2,AT3,103.026
2004,4,2,AT3,2,AT3,113.840
2004,4,3,AT3,2,AT3,121.788
2004,4,4,AT3,2,AT3,126.855
2004,4,5,AT3,2,AT3,129.031
2004,4,6,AT3,2,AT3,128.313
2004,4,7,AT3,2,AT3,124.702
2004,4,8,AT3,2,AT3,118.204
2004,4,9,AT3,2,AT3,108.832
2004,4,10,AT3,2,AT3,96.602
2004,5,1,AT3,2,AT3,100.148
2004,5,2,AT3,2,AT3,110.954
2004,5,3,AT3,2,AT3,118.895
2004,5,4,AT3,2,AT3,123.957
2004,5,5,AT3,2,AT3,126.131
2004,5,6,AT3,2,AT3,125.412
2004,5,7,AT3,2,AT3,121.801
2004,5,8,AT3,2,AT3,115.306
2004,5,9,AT3,2,AT3,105.938
2004,5,10,AT3,2,AT3,93.714
2004,6,1,AT3,2,AT3,94.395
2004,6,2,AT3,2,AT3,105.186
2004,6,3,AT3,2,AT3,113.116
2004,6,4,AT3,2,AT3,118.170
2004,6,5,AT3,2,AT3,120.339
2004,6,6,AT3,2,AT3,119.619
2004,6,7,AT3,2,AT3,116.011
2004,6,8,AT3,2,AT3,109.522
2004,6,9,AT3,2,AT3,100.165
2004,6,10,AT3,2,AT3,87.955
2004,7,1,AT3,2,AT3,85.777
2004,7,2,AT3,2,AT3,96.546
2004,7,3,AT3,2,AT3,104.460
2004,7,4,AT3,2,AT3,109.503
2004,7,5,AT3,2,AT3,111.667
2004,7,6,AT3,2,AT3,110.947
2004,7,7,AT3,2,AT3,107.344
2004,7,8,AT3,2,AT3,100.865
2004,7,9,AT3,2,AT3,91.523
2004,7,10,AT3,2,AT3,79.335
2004,8,1,AT3,2,AT3,74.311
2004,8,2,AT3,2,AT3,85.052
2004,8,3,AT3,2,AT3,92.944
2004,8,4,AT3,2,AT3,97.974
2004,8,5,AT3,2,AT3,100.130
2004,8,6,AT3,2,AT3,99.410
2004,8,7,AT3,2,AT3,95.815
2004,8,8,AT3,2,AT3,89.351
2004,8,9,AT3,2,AT3,80.030
2004,8,10,AT3,2,AT3,67.871
2005,1,1,AT3,2,AT3,94.381
2005,1,2,AT3,2,AT3,105.180
2005,1,3,AT3,2,AT3,113.117
2005,1,4,AT3,2,AT3,118.180
2005,1,5,AT3,2,AT3,120.357
2005,1,6,AT3,2,AT3,119.645
2005,1,7,AT3,2,AT3,116.045
2005,1,8,AT3,2,AT3,109.564
2005,1,9,AT3,2,AT3,100.214
2005,1,10,AT3,2,AT3,88.012
2005,2,1,AT3,2,AT3,100.140
2005,2,2,AT3,2,AT3,110.950
2005,2,3,AT3,2,AT3,118.896
2005,2,4,AT3,2,AT3,123.963
2005,2,5,AT3,2,AT3,126.142
2005,2,6,AT3,2,AT3,125.427
2005,2,7,AT3,2,AT3,121.821
2005,2,8,AT3,2,AT3,115.330
2005,2,9,AT3,2,AT3,105.967
2005,2,10,AT3,2,AT3,93.749
2005,3,1,AT3,2,AT3,103.023
2005,3,2,AT3,2,AT3,113.839
2005,3,3,AT3,2,AT3,121.788
2005,3,4,AT3,2,AT3,126.857
2005,3,5,AT3,2,AT3,129.035
2005,3,6,AT3,2,AT3,128.318
2005,3,7,AT3,2,AT3,124.709
2005,3,8,AT3,2,AT3,118.212
2005,3,9,AT3,2,AT3,108.842
2005,3,10,AT3,2,AT3,96.614
2005,4,1,AT3,2,AT3,103.026
2005,4,2,AT3,2,AT3,113.840
2005,4,3,AT3,2,AT3,121.788
2005,4,4,AT3,2,AT3,126.855
2005,4,5,AT3,2,AT3,129.031
2005,4,6,AT3,2,AT3,128.313
2005,4,7,AT3,2,AT3,124.702
2005,4,8,AT3,2,AT3,118.204
2005,4,9,AT3,2,AT3,108.832
2005,4,10,AT3,2,AT3,96.602
2005,5,1,AT3,2,AT3,100.148
2005,5,2,AT3,2,AT3,110.954
2005,5,3,AT3,2,AT3,118.895
2005,5,4,AT3,2,AT3,123.957
2005,5,5,AT3,2,AT3,126.131
2005,5,6,AT3,2,AT3,125.412
2005,5,7,AT3,2,AT3,121.801
2005,5,8,AT3,2,AT3,115.306
2005,5,9,AT3,2,AT3,105.938
2005,5,10,AT3,2,AT3,93.714
2005,6,1,AT3,2,AT3,94.395
2005,6,2,AT3,2,AT3,105.186
2005,6,3,AT3,2,AT3,113.116
2005,6,4,AT3,2,AT3,118.170
2005,6,5,AT3,2,AT3,120.339
2005,6,6,AT3,2,AT3,119.619
2005,6,7,AT3,2,AT3,116.011
2005,6,8,AT3,2,AT3,109.522
2005,6,9,AT3,2,AT3,100.165
2005,6,10,AT3,2,AT3,87.955
2005,7,1,AT3,2,AT3,85.777
2005,7,2,AT3,2,AT3,96.546
2005,7,3,AT3,2,AT3,104.460
2005,7,4,AT3,2,AT3,109.503
2005,7,5,AT3,2,AT3,111.667
2005,7,6,AT3,2,AT3,110.947
2005,7,7,AT3,2,AT3,107.344
2005,7,8,AT3,2,AT3,100.865
2005,7,9,AT3,2,AT3,91.523
2005,7,10,AT3,2,AT3,79.335
2005,8,1,AT3,2,AT3,74.311
2005,8,2,AT3,2,AT3,85.052
2005,8,3,AT3,2,AT3,92.944
2005,8,4,AT3,2,AT3,97.974
2005,8,5,AT3,2,AT3,100.130
2005,8,6,AT3,2,AT3,99.410
2005,8,7,AT3,2,AT3,95.815
2005,8,8,AT3,2,AT3,89.351
2005,8,9,AT3,2,AT3,80.030
2005,8,10,AT3,2,AT3,67.871
